date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:09	261505/261505	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v8.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v8.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:10	254339/254339	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-simple.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-simple.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:10	265519/265519	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-variable.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-variable.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:11	258881/258881	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-time-limit.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-time-limit.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:11	259496/259496	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-grouped.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-grouped.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:11	201380/201380	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shopping-cart.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/shopping-cart.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:11	198518/198518	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/compare.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/compare.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:12	194807/194807	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/wishlist.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/wishlist.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:12	201357/201357	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/checkout.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/checkout.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:12	193240/193240	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/user-registration.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/user-registration.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
